Id,Col,Row,ShortName,CountryCode,Continent,Country
143,20,18,Papua New Guinea,PNG,South-east Asia,Papua New Guinea
144,4,23,Paraguay,PRY,South America,Paraguay
145,2,22,Peru,PER,South America,Peru
146,20,12,Philippines,PHL,South-east Asia,Philippines
147,11,4,Poland,POL,Europe,Poland
148,6,8,Portugal,PRT,Europe,Portugal
149,5,12,Puerto Rico,PRI,Central America,Puerto Rico
150,15,15,Qatar,QAT,Middle East,Qatar
151,13,6,Romania,ROM,Europe,Romania
152,16,4,Russian Federation,RUS,Central Asia,Russian Federation
153,13,20,Rwanda,RWA,Africa,Rwanda
154,22,20,Samoa,WSM,Oceania,Samoa
155,9,7,San Marino,SMR,Europe,San Marino
156,10,20,Sao Tome and Principe,STP,Africa,Sao Tome and Principe
157,14,14,Saudi Arabia,SAU,Middle East,Saudi Arabia
158,7,13,Senegal,SEN,Africa,Senegal
159,12,7,Serbia,SRB,Europe,Serbia
160,15,23,Seychelles,SYC,Africa,Seychelles
161,7,17,Sierra Leone,SLE,Africa,Sierra Leone
162,19,17,Singapore,SGP,South-east Asia,Singapore
163,12,5,Slovakia,SVK,Europe,Slovakia
164,10,7,Slovenia,SVN,Europe,Slovenia
165,21,17,Solomon Islands,SLB,Oceania,Solomon Islands
166,15,18,Somalia,SOM,Africa,Somalia
167,11,25,South Africa,ZAF,Africa,South Africa
168,7,8,Spain,ESP,Europe,Spain
169,17,14,Sri Lanka,LKA,Indian,Sri Lanka
170,5,14,Saint Kitts and Nevis,KNA,Central America,Saint Kitts and Nevis
171,4,17,Saint Lucia,LCA,Central America,Saint Lucia
172,5,18,Saint Vincent and the Grenadines,VCT,Central America,Saint Vincent and the Grenadines
173,12,15,South Sudan,SSD,Africa,South Sudan
174,12,14,Sudan,SDN,Africa,Sudan
175,5,20,Suriname,SUR,South America,Suriname
176,13,24,Swaziland,SWZ,Africa,Swaziland
177,11,1,Sweden,SWE,Europe,Sweden
178,8,6,Switzerland,CHE,Europe,Switzerland
179,14,11,Syria,SYR,Middle East,Syria
180,17,10,Tajikistan,TJK,Central Asia,Tajikistan
181,14,21,Tanzania,TZA,Africa,Tanzania
182,19,14,Thailand,THA,South-east Asia,Thailand
183,19,19,Timor-Leste,TMP,South-east Asia,Timor-Leste
184,10,18,Togo,TGO,Africa,Togo
185,22,21,Tonga,TON,Oceania,Tonga
186,4,19,Trinidad and Tobago,TTO,Central America,Trinidad and Tobago
187,10,12,Tunisia,TUN,Africa,Tunisia
188,13,10,Turkey,TUR,Middle East,Turkey
189,16,10,Turkmenistan,TKM,Central Asia,Turkmenistan
190,4,11,Turks and Caicos Islands,TCA,Central America,Turks and Caicos Islands
191,21,18,Tuvalu,TUV,Oceania,Tuvalu
192,13,19,Uganda,UGA,Africa,Uganda
193,13,5,Ukraine,UKR,Europe,Ukraine
194,16,15,United Arab Emirates,ARE,Middle East,United Arab Emirates
195,7,4,United Kingdom,GBR,Europe,United Kingdom
196,2,7,United States of America,USA,North America,United States
197,4,24,Uruguay,URY,South America,Uruguay
198,16,9,Uzbekistan,UZB,Central Asia,Uzbekistan
199,21,19,Vanuatu,VUT,Oceania,Vanuatu
200,3,20,Venezuela,VEN,South America,Venezuela
201,19,12,Viet Nam,VNM,South-east Asia,Viet Nam
202,5,13,United States Virgin Islands,VIR,Central America,United States Virgin Islands
203,15,16,Yemen,YEM,Middle East,Yemen
204,12,22,Zambia,ZMB,Africa,Zambia
205,12,23,Zimbabwe,ZWE,Africa,Zimbabwe
